Date | Hour | Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
09:30 - 09:45,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83,2350.83
09:45 - 10:00,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43,2350.43
11,10:00 - 10:15,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06,2319.06
10:15 - 10:30,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03,2349.03
10:30 - 10:45,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19,2449.19
10:45 - 11:00,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11
12,11:00 - 11:15,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41,2400.41
11:15 - 11:30,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62,2400.62
11:30 - 11:45,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47,2369.47
11:45 - 12:00,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38,2319.38
13,12:00 - 12:15,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65,2417.65
12:15 - 12:30,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17,2417.17
12:30 - 12:45,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68,2249.68
12:45 - 13:00,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96,2189.96
14,13:00 - 13:15,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51,2189.51
13:15 - 13:30,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36,2189.36
13:30 - 13:45,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77,2199.77
13:45 - 14:00,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92,2249.92
15,14:00 - 14:15,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44,2249.44
14:15 - 14:30,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78,2349.78
14:30 - 14:45,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07,2449.07
14:45 - 15:00,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76,2417.76
16,15:00 - 15:15,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83,2400.83
15:15 - 15:30,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11,2400.11
15:30 - 15:45,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14,2417.14
15:45 - 16:00,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16,2417.16
17,16:00 - 16:15,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06,2497.06
